region,fuelcat,fuelsubcat,phase,species,efgroup
9-11,canopy,overstory,flaming,CO,9
9-11,canopy,overstory,flaming,NOx,9
9-11,canopy,overstory,flaming,NH3,9
9-11,canopy,overstory,flaming,SO2,9
9-11,canopy,overstory,flaming,PM2.5,9
9-11,canopy,overstory,smoldering,CO,9
9-11,canopy,overstory,smoldering,NOx,9
9-11,canopy,overstory,smoldering,NH3,9
9-11,canopy,overstory,smoldering,SO2,9
9-11,canopy,overstory,smoldering,PM2.5,9
9-11,canopy,overstory,residual,CO,
9-11,canopy,overstory,residual,NOx,
9-11,canopy,overstory,residual,NH3,
9-11,canopy,overstory,residual,SO2,
9-11,canopy,overstory,residual,PM2.5,
9-11,canopy,midstory,flaming,CO,9
9-11,canopy,midstory,flaming,NOx,9
9-11,canopy,midstory,flaming,NH3,9
9-11,canopy,midstory,flaming,SO2,9
9-11,canopy,midstory,flaming,PM2.5,9
9-11,canopy,midstory,smoldering,CO,9
9-11,canopy,midstory,smoldering,NOx,9
9-11,canopy,midstory,smoldering,NH3,9
9-11,canopy,midstory,smoldering,SO2,9
9-11,canopy,midstory,smoldering,PM2.5,9
9-11,canopy,midstory,residual,CO,
9-11,canopy,midstory,residual,NOx,
9-11,canopy,midstory,residual,NH3,
9-11,canopy,midstory,residual,SO2,
9-11,canopy,midstory,residual,PM2.5,
9-11,canopy,understory,flaming,CO,9
9-11,canopy,understory,flaming,NOx,9
9-11,canopy,understory,flaming,NH3,9
9-11,canopy,understory,flaming,SO2,9
9-11,canopy,understory,flaming,PM2.5,9
9-11,canopy,understory,smoldering,CO,9
9-11,canopy,understory,smoldering,NOx,9
9-11,canopy,understory,smoldering,NH3,9
9-11,canopy,understory,smoldering,SO2,9
9-11,canopy,understory,smoldering,PM2.5,9
9-11,canopy,understory,residual,CO,
9-11,canopy,understory,residual,NOx,
9-11,canopy,understory,residual,NH3,
9-11,canopy,understory,residual,SO2,
9-11,canopy,understory,residual,PM2.5,
9-11,canopy,snags class 1 foliage,flaming,CO,9
9-11,canopy,snags class 1 foliage,flaming,NOx,9
9-11,canopy,snags class 1 foliage,flaming,NH3,9
9-11,canopy,snags class 1 foliage,flaming,SO2,9
9-11,canopy,snags class 1 foliage,flaming,PM2.5,9
9-11,canopy,snags class 1 foliage,smoldering,CO,9
9-11,canopy,snags class 1 foliage,smoldering,NOx,9
9-11,canopy,snags class 1 foliage,smoldering,NH3,9
9-11,canopy,snags class 1 foliage,smoldering,SO2,9
9-11,canopy,snags class 1 foliage,smoldering,PM2.5,9
9-11,canopy,snags class 1 foliage,residual,CO,9
9-11,canopy,snags class 1 foliage,residual,NOx,9
9-11,canopy,snags class 1 foliage,residual,NH3,9
9-11,canopy,snags class 1 foliage,residual,SO2,9
9-11,canopy,snags class 1 foliage,residual,PM2.5,9
9-11,canopy,snags class 1 wood,flaming,CO,9
9-11,canopy,snags class 1 wood,flaming,NOx,9
9-11,canopy,snags class 1 wood,flaming,NH3,9
9-11,canopy,snags class 1 wood,flaming,SO2,9
9-11,canopy,snags class 1 wood,flaming,PM2.5,9
9-11,canopy,snags class 1 wood,smoldering,CO,9
9-11,canopy,snags class 1 wood,smoldering,NOx,9
9-11,canopy,snags class 1 wood,smoldering,NH3,9
9-11,canopy,snags class 1 wood,smoldering,SO2,9
9-11,canopy,snags class 1 wood,smoldering,PM2.5,9
9-11,canopy,snags class 1 wood,residual,CO,9
9-11,canopy,snags class 1 wood,residual,NOx,9
9-11,canopy,snags class 1 wood,residual,NH3,9
9-11,canopy,snags class 1 wood,residual,SO2,9
9-11,canopy,snags class 1 wood,residual,PM2.5,9
9-11,canopy,snags class 1 no foliage,flaming,CO,9
9-11,canopy,snags class 1 no foliage,flaming,NOx,9
9-11,canopy,snags class 1 no foliage,flaming,NH3,9
9-11,canopy,snags class 1 no foliage,flaming,SO2,9
9-11,canopy,snags class 1 no foliage,flaming,PM2.5,9
9-11,canopy,snags class 1 no foliage,smoldering,CO,9
9-11,canopy,snags class 1 no foliage,smoldering,NOx,9
9-11,canopy,snags class 1 no foliage,smoldering,NH3,9
9-11,canopy,snags class 1 no foliage,smoldering,SO2,9
9-11,canopy,snags class 1 no foliage,smoldering,PM2.5,9
9-11,canopy,snags class 1 no foliage,residual,CO,9
9-11,canopy,snags class 1 no foliage,residual,NOx,9
9-11,canopy,snags class 1 no foliage,residual,NH3,9
9-11,canopy,snags class 1 no foliage,residual,SO2,9
9-11,canopy,snags class 1 no foliage,residual,PM2.5,9
9-11,canopy,snags class 2,flaming,CO,9
9-11,canopy,snags class 2,flaming,NOx,9
9-11,canopy,snags class 2,flaming,NH3,9
9-11,canopy,snags class 2,flaming,SO2,9
9-11,canopy,snags class 2,flaming,PM2.5,9
9-11,canopy,snags class 2,smoldering,CO,9
9-11,canopy,snags class 2,smoldering,NOx,9
9-11,canopy,snags class 2,smoldering,NH3,9
9-11,canopy,snags class 2,smoldering,SO2,9
9-11,canopy,snags class 2,smoldering,PM2.5,9
9-11,canopy,snags class 2,residual,CO,7
9-11,canopy,snags class 2,residual,NOx,7
9-11,canopy,snags class 2,residual,NH3,7
9-11,canopy,snags class 2,residual,SO2,7
9-11,canopy,snags class 2,residual,PM2.5,7
9-11,canopy,snags class 3,flaming,CO,9
9-11,canopy,snags class 3,flaming,NOx,9
9-11,canopy,snags class 3,flaming,NH3,9
9-11,canopy,snags class 3,flaming,SO2,9
9-11,canopy,snags class 3,flaming,PM2.5,9
9-11,canopy,snags class 3,smoldering,CO,9
9-11,canopy,snags class 3,smoldering,NOx,9
9-11,canopy,snags class 3,smoldering,NH3,9
9-11,canopy,snags class 3,smoldering,SO2,9
9-11,canopy,snags class 3,smoldering,PM2.5,9
9-11,canopy,snags class 3,residual,CO,7
9-11,canopy,snags class 3,residual,NOx,7
9-11,canopy,snags class 3,residual,NH3,7
9-11,canopy,snags class 3,residual,SO2,7
9-11,canopy,snags class 3,residual,PM2.5,7
9-11,canopy,ladder fuels,flaming,CO,9
9-11,canopy,ladder fuels,flaming,NOx,9
9-11,canopy,ladder fuels,flaming,NH3,9
9-11,canopy,ladder fuels,flaming,SO2,9
9-11,canopy,ladder fuels,flaming,PM2.5,9
9-11,canopy,ladder fuels,smoldering,CO,9
9-11,canopy,ladder fuels,smoldering,NOx,9
9-11,canopy,ladder fuels,smoldering,NH3,9
9-11,canopy,ladder fuels,smoldering,SO2,9
9-11,canopy,ladder fuels,smoldering,PM2.5,9
9-11,canopy,ladder fuels,residual,CO,
9-11,canopy,ladder fuels,residual,NOx,
9-11,canopy,ladder fuels,residual,NH3,
9-11,canopy,ladder fuels,residual,SO2,
9-11,canopy,ladder fuels,residual,PM2.5,
9-11,shrub,primary live,flaming,CO,9
9-11,shrub,primary live,flaming,NOx,9
9-11,shrub,primary live,flaming,NH3,9
9-11,shrub,primary live,flaming,SO2,9
9-11,shrub,primary live,flaming,PM2.5,9
9-11,shrub,primary live,smoldering,CO,9
9-11,shrub,primary live,smoldering,NOx,9
9-11,shrub,primary live,smoldering,NH3,9
9-11,shrub,primary live,smoldering,SO2,9
9-11,shrub,primary live,smoldering,PM2.5,9
9-11,shrub,primary live,residual,CO,
9-11,shrub,primary live,residual,NOx,
9-11,shrub,primary live,residual,NH3,
9-11,shrub,primary live,residual,SO2,
9-11,shrub,primary live,residual,PM2.5,
9-11,shrub,primary dead,flaming,CO,9
9-11,shrub,primary dead,flaming,NOx,9
9-11,shrub,primary dead,flaming,NH3,9
9-11,shrub,primary dead,flaming,SO2,9
9-11,shrub,primary dead,flaming,PM2.5,9
9-11,shrub,primary dead,smoldering,CO,9
9-11,shrub,primary dead,smoldering,NOx,9
9-11,shrub,primary dead,smoldering,NH3,9
9-11,shrub,primary dead,smoldering,SO2,9
9-11,shrub,primary dead,smoldering,PM2.5,9
9-11,shrub,primary dead,residual,CO,
9-11,shrub,primary dead,residual,NOx,
9-11,shrub,primary dead,residual,NH3,
9-11,shrub,primary dead,residual,SO2,
9-11,shrub,primary dead,residual,PM2.5,
9-11,shrub,secondary live,flaming,CO,9
9-11,shrub,secondary live,flaming,NOx,9
9-11,shrub,secondary live,flaming,NH3,9
9-11,shrub,secondary live,flaming,SO2,9
9-11,shrub,secondary live,flaming,PM2.5,9
9-11,shrub,secondary live,smoldering,CO,9
9-11,shrub,secondary live,smoldering,NOx,9
9-11,shrub,secondary live,smoldering,NH3,9
9-11,shrub,secondary live,smoldering,SO2,9
9-11,shrub,secondary live,smoldering,PM2.5,9
9-11,shrub,secondary live,residual,CO,
9-11,shrub,secondary live,residual,NOx,
9-11,shrub,secondary live,residual,NH3,
9-11,shrub,secondary live,residual,SO2,
9-11,shrub,secondary live,residual,PM2.5,
9-11,shrub,secondary dead,flaming,CO,9
9-11,shrub,secondary dead,flaming,NOx,9
9-11,shrub,secondary dead,flaming,NH3,9
9-11,shrub,secondary dead,flaming,SO2,9
9-11,shrub,secondary dead,flaming,PM2.5,9
9-11,shrub,secondary dead,smoldering,CO,9
9-11,shrub,secondary dead,smoldering,NOx,9
9-11,shrub,secondary dead,smoldering,NH3,9
9-11,shrub,secondary dead,smoldering,SO2,9
9-11,shrub,secondary dead,smoldering,PM2.5,9
9-11,shrub,secondary dead,residual,CO,
9-11,shrub,secondary dead,residual,NOx,
9-11,shrub,secondary dead,residual,NH3,
9-11,shrub,secondary dead,residual,SO2,
9-11,shrub,secondary dead,residual,PM2.5,
9-11,nonwoody,primary live,flaming,CO,9
9-11,nonwoody,primary live,flaming,NOx,9
9-11,nonwoody,primary live,flaming,NH3,9
9-11,nonwoody,primary live,flaming,SO2,9
9-11,nonwoody,primary live,flaming,PM2.5,9
9-11,nonwoody,primary live,smoldering,CO,9
9-11,nonwoody,primary live,smoldering,NOx,9
9-11,nonwoody,primary live,smoldering,NH3,9
9-11,nonwoody,primary live,smoldering,SO2,9
9-11,nonwoody,primary live,smoldering,PM2.5,9
9-11,nonwoody,primary live,residual,CO,
9-11,nonwoody,primary live,residual,NOx,
9-11,nonwoody,primary live,residual,NH3,
9-11,nonwoody,primary live,residual,SO2,
9-11,nonwoody,primary live,residual,PM2.5,
9-11,nonwoody,primary dead,flaming,CO,9
9-11,nonwoody,primary dead,flaming,NOx,9
9-11,nonwoody,primary dead,flaming,NH3,9
9-11,nonwoody,primary dead,flaming,SO2,9
9-11,nonwoody,primary dead,flaming,PM2.5,9
9-11,nonwoody,primary dead,smoldering,CO,9
9-11,nonwoody,primary dead,smoldering,NOx,9
9-11,nonwoody,primary dead,smoldering,NH3,9
9-11,nonwoody,primary dead,smoldering,SO2,9
9-11,nonwoody,primary dead,smoldering,PM2.5,9
9-11,nonwoody,primary dead,residual,CO,
9-11,nonwoody,primary dead,residual,NOx,
9-11,nonwoody,primary dead,residual,NH3,
9-11,nonwoody,primary dead,residual,SO2,
9-11,nonwoody,primary dead,residual,PM2.5,
9-11,nonwoody,secondary live,flaming,CO,9
9-11,nonwoody,secondary live,flaming,NOx,9
9-11,nonwoody,secondary live,flaming,NH3,9
9-11,nonwoody,secondary live,flaming,SO2,9
9-11,nonwoody,secondary live,flaming,PM2.5,9
9-11,nonwoody,secondary live,smoldering,CO,9
9-11,nonwoody,secondary live,smoldering,NOx,9
9-11,nonwoody,secondary live,smoldering,NH3,9
9-11,nonwoody,secondary live,smoldering,SO2,9
9-11,nonwoody,secondary live,smoldering,PM2.5,9
9-11,nonwoody,secondary live,residual,CO,
9-11,nonwoody,secondary live,residual,NOx,
9-11,nonwoody,secondary live,residual,NH3,
9-11,nonwoody,secondary live,residual,SO2,
9-11,nonwoody,secondary live,residual,PM2.5,
9-11,nonwoody,secondary dead,flaming,CO,9
9-11,nonwoody,secondary dead,flaming,NOx,9
9-11,nonwoody,secondary dead,flaming,NH3,9
9-11,nonwoody,secondary dead,flaming,SO2,9
9-11,nonwoody,secondary dead,flaming,PM2.5,9
9-11,nonwoody,secondary dead,smoldering,CO,9
9-11,nonwoody,secondary dead,smoldering,NOx,9
9-11,nonwoody,secondary dead,smoldering,NH3,9
9-11,nonwoody,secondary dead,smoldering,SO2,9
9-11,nonwoody,secondary dead,smoldering,PM2.5,9
9-11,nonwoody,secondary dead,residual,CO,
9-11,nonwoody,secondary dead,residual,NOx,
9-11,nonwoody,secondary dead,residual,NH3,
9-11,nonwoody,secondary dead,residual,SO2,
9-11,nonwoody,secondary dead,residual,PM2.5,
9-11,woody fuels,1-hr fuels,flaming,CO,9
9-11,woody fuels,1-hr fuels,flaming,NOx,9
9-11,woody fuels,1-hr fuels,flaming,NH3,9
9-11,woody fuels,1-hr fuels,flaming,SO2,9
9-11,woody fuels,1-hr fuels,flaming,PM2.5,9
9-11,woody fuels,1-hr fuels,smoldering,CO,9
9-11,woody fuels,1-hr fuels,smoldering,NOx,9
9-11,woody fuels,1-hr fuels,smoldering,NH3,9
9-11,woody fuels,1-hr fuels,smoldering,SO2,9
9-11,woody fuels,1-hr fuels,smoldering,PM2.5,9
9-11,woody fuels,1-hr fuels,residual,CO,
9-11,woody fuels,1-hr fuels,residual,NOx,
9-11,woody fuels,1-hr fuels,residual,NH3,
9-11,woody fuels,1-hr fuels,residual,SO2,
9-11,woody fuels,1-hr fuels,residual,PM2.5,
9-11,woody fuels,10-hr fuels,flaming,CO,9
9-11,woody fuels,10-hr fuels,flaming,NOx,9
9-11,woody fuels,10-hr fuels,flaming,NH3,9
9-11,woody fuels,10-hr fuels,flaming,SO2,9
9-11,woody fuels,10-hr fuels,flaming,PM2.5,9
9-11,woody fuels,10-hr fuels,smoldering,CO,9
9-11,woody fuels,10-hr fuels,smoldering,NOx,9
9-11,woody fuels,10-hr fuels,smoldering,NH3,9
9-11,woody fuels,10-hr fuels,smoldering,SO2,9
9-11,woody fuels,10-hr fuels,smoldering,PM2.5,9
9-11,woody fuels,10-hr fuels,residual,CO,
9-11,woody fuels,10-hr fuels,residual,NOx,
9-11,woody fuels,10-hr fuels,residual,NH3,
9-11,woody fuels,10-hr fuels,residual,SO2,
9-11,woody fuels,10-hr fuels,residual,PM2.5,
9-11,woody fuels,100-hr fuels,flaming,CO,9
9-11,woody fuels,100-hr fuels,flaming,NOx,9
9-11,woody fuels,100-hr fuels,flaming,NH3,9
9-11,woody fuels,100-hr fuels,flaming,SO2,9
9-11,woody fuels,100-hr fuels,flaming,PM2.5,9
9-11,woody fuels,100-hr fuels,smoldering,CO,9
9-11,woody fuels,100-hr fuels,smoldering,NOx,9
9-11,woody fuels,100-hr fuels,smoldering,NH3,9
9-11,woody fuels,100-hr fuels,smoldering,SO2,9
9-11,woody fuels,100-hr fuels,smoldering,PM2.5,9
9-11,woody fuels,100-hr fuels,residual,CO,9
9-11,woody fuels,100-hr fuels,residual,NOx,9
9-11,woody fuels,100-hr fuels,residual,NH3,9
9-11,woody fuels,100-hr fuels,residual,SO2,9
9-11,woody fuels,100-hr fuels,residual,PM2.5,9
9-11,woody fuels,1000-hr fuels sound,flaming,CO,9
9-11,woody fuels,1000-hr fuels sound,flaming,NOx,9
9-11,woody fuels,1000-hr fuels sound,flaming,NH3,9
9-11,woody fuels,1000-hr fuels sound,flaming,SO2,9
9-11,woody fuels,1000-hr fuels sound,flaming,PM2.5,9
9-11,woody fuels,1000-hr fuels sound,smoldering,CO,9
9-11,woody fuels,1000-hr fuels sound,smoldering,NOx,9
9-11,woody fuels,1000-hr fuels sound,smoldering,NH3,9
9-11,woody fuels,1000-hr fuels sound,smoldering,SO2,9
9-11,woody fuels,1000-hr fuels sound,smoldering,PM2.5,9
9-11,woody fuels,1000-hr fuels sound,residual,CO,7
9-11,woody fuels,1000-hr fuels sound,residual,NOx,7
9-11,woody fuels,1000-hr fuels sound,residual,NH3,7
9-11,woody fuels,1000-hr fuels sound,residual,SO2,7
9-11,woody fuels,1000-hr fuels sound,residual,PM2.5,7
9-11,woody fuels,1000-hr fuels rotten,flaming,CO,9
9-11,woody fuels,1000-hr fuels rotten,flaming,NOx,9
9-11,woody fuels,1000-hr fuels rotten,flaming,NH3,9
9-11,woody fuels,1000-hr fuels rotten,flaming,SO2,9
9-11,woody fuels,1000-hr fuels rotten,flaming,PM2.5,9
9-11,woody fuels,1000-hr fuels rotten,smoldering,CO,9
9-11,woody fuels,1000-hr fuels rotten,smoldering,NOx,9
9-11,woody fuels,1000-hr fuels rotten,smoldering,NH3,9
9-11,woody fuels,1000-hr fuels rotten,smoldering,SO2,9
9-11,woody fuels,1000-hr fuels rotten,smoldering,PM2.5,9
9-11,woody fuels,1000-hr fuels rotten,residual,CO,7
9-11,woody fuels,1000-hr fuels rotten,residual,NOx,7
9-11,woody fuels,1000-hr fuels rotten,residual,NH3,7
9-11,woody fuels,1000-hr fuels rotten,residual,SO2,7
